frame,elapsed_ms,capture_ms,copy_ms,native_texture
505,4198.741,0.796,0.294,19
506,4207.142,0.909,0.299,23
507,4215.426,0.927,0.298,27
508,4223.858,0.959,0.310,19
509,4232.031,0.802,0.283,23
510,4240.585,1.021,0.294,27
511,4248.893,0.889,0.321,19
512,4257.221,0.928,0.291,23
513,4265.375,0.788,0.302,27
514,4273.692,0.830,0.307,19
515,4282.150,0.874,0.292,23
516,4290.293,0.781,0.290,27
517,4298.743,0.821,0.305,19
518,4307.099,0.889,0.294,23
519,4315.421,0.908,0.286,27
520,4323.834,0.882,0.295,19
521,4332.037,0.792,0.286,23
522,4340.294,0.746,0.284,27
523,4348.820,0.824,0.292,19
524,4357.188,0.857,0.306,23
525,4365.374,0.864,0.286,27
526,4373.762,0.876,0.286,19
527,4382.347,1.009,0.295,23
528,4390.367,0.791,0.291,27
529,4398.753,0.853,0.283,19
530,4407.020,0.810,0.291,23
531,4415.266,0.767,0.274,27
532,4423.740,0.853,0.283,19
533,4432.082,0.876,0.307,23
534,4440.494,0.996,0.306,27
535,4449.132,0.961,0.314,19
536,4457.547,1.031,0.314,23
537,4465.676,1.018,0.299,27
538,4473.856,0.816,0.294,19
539,4482.210,0.856,0.287,23
540,4490.572,0.829,0.287,27
541,4498.868,0.865,0.294,19
542,4507.113,0.821,0.294,23
543,4515.351,0.806,0.289,27
544,4523.834,0.915,0.295,19
545,4532.045,0.829,0.287,23
546,4540.493,0.885,0.311,27
547,4548.722,0.826,0.295,19
548,4557.173,0.930,0.284,23
549,4565.401,0.886,0.281,27
550,4573.755,0.866,0.304,19
551,4582.060,0.853,0.300,23
552,4590.374,0.847,0.273,27
553,4598.766,0.883,0.271,19
554,4607.036,0.833,0.286,23
555,4615.415,0.857,0.269,27
556,4623.755,0.858,0.288,19
557,4632.134,0.922,0.283,23
558,4640.415,0.916,0.266,27
559,4648.843,0.866,0.305,19
560,4657.196,0.769,0.271,23
561,4665.661,0.911,0.301,27
562,4673.775,0.761,0.272,19
563,4682.134,0.796,0.282,23
564,4690.576,0.897,0.278,27
565,4698.936,0.855,0.300,19
566,4707.230,0.898,0.309,23
567,4715.506,0.810,0.293,27
